Season,Round,Age,Location,Replicate,% moisture,Wet weight g,Protein g/100g dry weight,Protein g/100g wet weight,fat g/100g dry weight,fat g/100g wet weight,fat mg/g dry weight,fat mg/g wet weight,total fat (g/cm2),protein g/cm2,No. of days,average dry weight accumulation (g/m2/day),average daily fat accumulation (g/m2/day),average daily protein accumulation (g/m2/day),dry weight,name,value
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,Dry~weight~(g),4.3205
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,Protein~(g/m^2),308.7717333333333
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,EPA~(g/m^2),0.9332223842345765
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,SFA~(g/m^2),7.493612022178346
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,MUFA~(g/m^2),3.1254763710593103
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,PUFA~(g/m^2),3.2744645060862325
Spring/Summer,1,32,Berth G,C,80.5,22.0238,13.4,2.6,0.89,0.17,8.9,1.73,0.0020507973333333336,0.030877173333333334,32,0.135015625,0.6408741666666667,9.649116666666666,4.3205,ω3~PUFA~(g/m^2),2.2151752383673364
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,Fat~(g/m^2),27.39071999999999
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,Dry~weight~(g),8.559599999999998
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,Protein~(g/m^2),451.9468799999999
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,EPA~(g/m^2),1.7638787547099752
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,SFA~(g/m^2),8.164553785863797
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,MUFA~(g/m^2),3.600517508051737
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,PUFA~(g/m^2),5.842848374976793
Spring/Summer,1,54,Berth C,A,89.1,76.1154,9.9,1.1,0.6,0.07,6,0.66,0.002739071999999999,0.04519468799999999,54,0.15851111111111107,0.5072355555555554,8.369386666666665,8.5596,ω3~PUFA~(g/m^2),4.3633950694638015
Spring/Summer,1,54,Berth C,B,87.8,121.9032,14.6,1.8,0.61,0.07,6.1,0.75,0.004881659199999999,0.116839712,54,0.2778722222222222,0.9040109629629628,21.636983703703706,15.0051,Fat~(g/m^2),48.81659199999999
