"name","contrast","estimate","SE","df","t.ratio","p.value"
"C18:3n3 alpha linolenic acid (ALA)","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.53,0.1,63,5.11,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.19,0.1,63,1.8,"0.473"
"C18:3n3 alpha linolenic acid (ALA)","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.28,0.1,63,-2.65,"0.101"
"C18:3n3 alpha linolenic acid (ALA)","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.62,0.1,63,-5.96,"<0.001"
"C18:3n3 alpha linolenic acid (ALA)","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",-0.34,0.1,63,-3.31,"0.019"
"C18:3n6 gamma linolenic (GLA)","(Age13 Spring/Summer) - (Age32 Spring/Summer)",-0.06,0.05,63,-1.26,"0.803"
"C18:3n6 gamma linolenic (GLA)","(Age13 Spring/Summer) - (Age54 Spring/Summer)",0.05,0.05,63,0.91,"0.943"
"C18:3n6 gamma linolenic (GLA)","(Age13 Spring/Summer) - (Age13 Autumn/Winter)",0.23,0.05,63,4.51,"<0.001"
"C18:3n6 gamma linolenic (GLA)","(Age13 Spring/Summer) - (Age32 Autumn/Winter)",0.13,0.05,63,2.61,"0.109"
"C18:3n6 gamma linolenic (GLA)","(Age13 Spring/Summer) - (Age54 Autumn/Winter)",0.16,0.05,63,3.12,"0.031"
"C18:3n6 gamma linolenic (GLA)","(Age32 Spring/Summer) - (Age54 Spring/Summer)",0.11,0.05,63,2.17,"0.265"
"C18:3n6 gamma linolenic (GLA)","(Age32 Spring/Summer) - (Age13 Autumn/Winter)",0.3,0.05,63,5.78,"<0.001"
"C18:3n6 gamma linolenic (GLA)","(Age32 Spring/Summer) - (Age32 Autumn/Winter)",0.2,0.05,63,3.88,"0.003"
"C18:3n6 gamma linolenic (GLA)","(Age32 Spring/Summer) - (Age54 Autumn/Winter)",0.23,0.05,63,4.39,"<0.001"
"C18:3n6 gamma linolenic (GLA)","(Age54 Spring/Summer) - (Age13 Autumn/Winter)",0.18,0.05,63,3.6,"0.008"
"C18:3n6 gamma linolenic (GLA)","(Age54 Spring/Summer) - (Age32 Autumn/Winter)",0.09,0.05,63,1.71,"0.533"
"C18:3n6 gamma linolenic (GLA)","(Age54 Spring/Summer) - (Age54 Autumn/Winter)",0.11,0.05,63,2.21,"0.246"
"C18:3n6 gamma linolenic (GLA)","(Age13 Autumn/Winter) - (Age32 Autumn/Winter)",-0.1,0.05,63,-1.9,"0.413"
"C18:3n6 gamma linolenic (GLA)","(Age13 Autumn/Winter) - (Age54 Autumn/Winter)",-0.07,0.05,63,-1.39,"0.733"
"C18:3n6 gamma linolenic (GLA)","(Age32 Autumn/Winter) - (Age54 Autumn/Winter)",0.03,0.05,63,0.51,"0.996"
